Componente PCA 1,Especie
-2.6841256259695374,0.0
-2.714141687294324,0.0
-2.888990569059295,0.0
-2.745342855641408,0.0
-2.7287165365545305,0.0
-2.2808596328444954,0.0
-2.8205377507406073,0.0
-2.626144973146633,0.0
-2.8863827317805493,0.0
-2.672755797820953,0.0
-2.5069470906518583,0.0
-2.6127552309087227,0.0
-2.7861092661880162,0.0
-3.2238037438656493,0.0
-2.644750389942034,0.0
-2.386039033531139,0.0
-2.6235278752244295,0.0
-2.6482967062543823,0.0
-2.1998203236175833,0.0
-2.58798639987877,0.0
-2.3102562152425197,0.0
-2.5437052287571573,0.0
-3.215939415648611,0.0
-2.302733182226207,0.0
-2.3557540491237723,0.0
-2.50666890692582,0.0
-2.4688200731213388,0.0
-2.562319906196017,0.0
-2.6395347153845434,0.0
-2.6319893872743445,0.0
-2.770102426027902,0.0
-2.849368705043098,0.0
-2.9974065465949047,0.0
-2.4056144850974857,0.0
-2.2094892377836812,0.0
-2.7144514267577056,0.0
-2.538148258998942,0.0
-2.839462167642848,0.0
-2.543085749830395,0.0
-2.7033597823351587,0.0
1.284825688858347,1.0
0.9324885323123153,1.0
1.4643023219913909,1.0
0.18331771995837354,1.0
1.0881032577116647,1.0
0.6416690842580781,1.0
1.0950606626324433,1.0
-0.7491226698296529,1.0
1.044131826053433,1.0
-0.008745404082893593,1.0
-0.5078408838353212,1.0
0.5116985574475965,1.0
0.2649765081120483,1.0
0.9849345104708895,1.0
-0.1739253716817668,1.0
0.9278607809442434,1.0
0.6602837616969373,1.0
0.23610499331767265,1.0
0.9447337280198145,1.0
0.04522697629870187,1.0
1.1162831773500477,1.0
0.357888417997307,1.0
1.2981838753589132,1.0
0.921728922447036,1.0
0.7148533259114096,1.0
0.9001743731721641,1.0
1.3320244367220857,1.0
1.5578021550660672,1.0
0.8132906498175405,1.0
-0.3055837780243085,1.0
0.4648002884037812,1.0
0.8908151984694479,1.0
0.23054802355945636,1.0
-0.7045317592446594,1.0
0.35698149470104834,1.0
0.3319344799450583,1.0
0.376215651066671,1.0
0.6425760075543367,1.0
-0.9064698649488321,1.0
0.2990008418781436,1.0
2.5311927278036253,2.0
1.4152358767039033,2.0
2.6166760159956857,2.0
1.9715310530434333,2.0
2.350005920044638,2.0
3.3970387360532515,2.0
0.5212322439097781,2.0
2.9325870689936844,2.0
2.3212288165733765,2.0
2.916750966786066,2.0
1.6617741536365278,2.0
1.803401952965089,2.0
2.1655917960801414,2.0
1.3461635794584534,2.0
1.5859282238732222,2.0
1.9044563747934236,2.0
1.9496890593990663,2.0
3.4870553642902697,2.0
3.795645422072881,2.0
1.3007917126376585,2.0
2.4278179130660416,2.0
1.1990011054655625,2.0
3.4999200389245315,2.0
1.3887661316914643,2.0
2.275430503872201,2.0
2.6140904738108253,2.0
1.2585081605114876,2.0
1.2911320591150197,2.0
2.123608722773893,2.0
2.388003016003463,2.0
2.3141547052355964,2.0
1.9222678009025982,2.0
1.4152358767039033,2.0
2.563013375077472,2.0
2.4187461827328214,2.0
1.9441097945469652,2.0
1.5271666148145178,2.0
1.764345717044426,2.0
1.9009416142184206,2.0
1.3901888619479124,2.0
